origin_country,total_flights,avg_velocity,on_ground
Algeria,16,216.830625,1
Argentina,20,150.07850000000002,2
Armenia,1,3.45,0
Australia,25,121.54879999999999,7
Austria,109,166.65036697247706,12
Azerbaijan,1,159.73,0
Bahamas,1,190.2,0
Bahrain,3,198.65,0
Bangladesh,10,87.346,3
Barbados,1,0.0,1
Belarus,2,227.675,0
Belgium,46,137.08673913043478,6
Bolivia,1,141.9,0
Botswana,1,141.16,0
Brazil,154,148.90837662337663,7
Bulgaria,9,176.03444444444443,1
Canada,538,139.4740148698885,75
Chile,24,181.16750000000002,2
China,166,192.87536144578314,9
Colombia,15,129.494,0
Croatia,9,162.14888888888888,0
Cyprus,1,202.93,0
Czech Republic,49,126.92795918367348,4
Denmark,36,147.28055555555557,0
Dominican Republic,3,176.27666666666667,0
Egypt,39,231.93948717948717,1
Estonia,6,160.23,1
Ethiopia,6,200.70166666666668,0
Fiji,1,291.34,0
Finland,47,174.9551063829787,4
France,218,154.73711009174312,17
Georgia,8,132.785,3
Germany,369,130.63482384823848,29
Greece,43,172.93348837209302,2
Guatemala,13,74.89923076923077,1
Hungary,53,185.28490566037738,4
Iceland,14,160.39642857142857,1
India,160,165.0189375,22
Indonesia,14,165.29999999999998,1
Ireland,263,178.7690494296578,21
Israel,6,238.4466666666667,0
Italy,23,132.8308695652174,1
Japan,34,148.67411764705884,9
Jordan,12,227.76250000000002,0
Kazakhstan,1,210.92,0
Kenya,2,153.815,0
Kingdom of the Netherlands,108,155.6327777777778,11
Lao People's Democratic Republic,1,224.17,0
Latvia,29,195.0448275862069,1
Lebanon,1,257.32,0
Libyan Arab Jamahiriya,4,224.4725,0
Lithuania,14,126.22357142857143,3
Luxembourg,26,182.61576923076925,1
Malaysia,38,171.1055263157895,3
Maldives,1,224.35,0
Malta,178,191.55898876404495,7
Mauritius,1,261.53,0
Mexico,130,175.4963846153846,13
Monaco,1,67.58,0
Montenegro,1,216.28,0
Morocco,30,191.059,3
Myanmar,2,200.61,0
New Zealand,4,106.38499999999999,2
Nigeria,2,226.32,0
Norway,42,156.43714285714285,1
Oman,8,227.8275,0
Pakistan,1,249.2,0
Panama,29,210.42482758620687,0
Paraguay,1,167.57,0
Philippines,22,153.84318181818182,3
Poland,124,159.24661290322578,10
Portugal,72,162.19305555555556,7
Qatar,22,228.34363636363634,1
Republic of Korea,41,187.80024390243904,4
Republic of Moldova,3,240.81000000000003,0
Romania,12,180.0716666666667,0
Russian Federation,52,140.1823076923077,1
Saint Vincent and the Grenadines,2,85.38,0
San Marino,6,192.28666666666666,0
Saudi Arabia,24,231.87958333333333,0
Serbia,4,157.1875,0
Singapore,24,209.00750000000002,1
Slovakia,2,135.505,0
Slovenia,3,162.82333333333335,0
South Africa,26,124.48346153846154,3
Spain,181,183.0578453038674,13
Sri Lanka,3,238.0,0
Sweden,67,159.7507462686567,3
Switzerland,99,115.68141414141414,29
Taiwan,15,191.97266666666667,1
Thailand,35,196.9802857142857,0
Trinidad and Tobago,5,188.594,0
Tunisia,12,202.95083333333332,0
Turkey,231,190.6235930735931,13
Turkmenistan,2,270.1,0
Ukraine,4,193.695,0
United Arab Emirates,92,236.3282608695652,2
United Kingdom,428,168.68932242990653,34
United States,7190,134.2634260676033,640
Uzbekistan,9,158.1833333333333,1
Venezuela,2,117.18,0
Viet Nam,11,161.47636363636363,1
