icao24,origin_country,velocity,on_ground
39de4f,France,225.58,False
a5f852,United States,57.8,False
ab1644,United States,107.01,False
80162d,India,128.64,False
aa3cbe,United States,49.82,False
e8027e,Chile,210.32,False
39de4b,France,176.31,False
39de4a,France,0.0,True
39de4c,France,235.88,False
801641,India,178.79,False
3cf0b8,Germany,84.05,False
39de51,France,217.75,False
aae302,United States,193.35,False
39de50,France,227.59,False
80162f,India,1.54,True
39de53,France,240.21,False
488280,Poland,37.89,False
39de55,France,220.74,False
a5f845,United States,127.49,False
a27bf2,United States,33.82,False
e48d32,Brazil,67.41,False
801650,India,1.29,True
a9a0fb,United States,37.22,False
801657,India,192.5,False
aae316,United States,212.15,False
a3ebe2,United States,48.94,False
a39bd1,United States,81.02,False
80163f,India,249.13,False
a36898,United States,147.79,False
acdfa3,United States,238.6,False
a5954e,United States,73.92,False
a22235,United States,49.56,False
c034b6,Canada,110.33,False
acdfbe,United States,44.92,False
801619,India,69.97,False
a1befc,United States,178.54,False
80160f,India,258.64,False
3d10d7,Germany,58.68,False
c034ac,Canada,76.55,False
aaf656,United States,201.22,False
a6053c,United States,49.47,False
39de32,France,73.45,False
c07d1c,Canada,191.31,False
ad5622,United States,225.18,False
ab0347,United States,9.77,True
80161a,India,72.54,False
c047d8,Canada,58.37,False
acdfab,United States,240.82,False
a0e250,United States,82.51,False
a2cba6,United States,205.39,False
488252,Poland,190.49,False
39de48,France,212.99,False
a2ded8,United States,89.13,False
39de49,France,239.47,False
ad694c,United States,0.0,True
ac3656,United States,0.0,True
a34215,United States,240.31,False
80161e,India,191.19,False
39de42,France,216.18,False
39de44,France,1.29,True
c047cf,Canada,38.72,False
80166c,India,286.51,False
ae1fe9,United States,30.95,True
ab0356,United States,192.29,False
a2228b,United States,262.3,False
adeca0,United States,35.02,False
e8023a,Chile,12.86,False
511188,Estonia,237.78,False
511189,Estonia,234.96,False
ae6305,United States,65.48,False
abacd2,United States,196.07,False
4acb03,Sweden,171.39,False
0aa002,Barbados,0.0,True
4acb02,Sweden,242.24,False
801685,India,78.75,False
801686,India,196.87,False
a47597,United States,0.0,True
4bc8c8,Turkey,213.82,False
51116f,Estonia,230.33,False
4bc8c7,Turkey,240.15,False
4bc8c4,Turkey,64.77,False
4bc8c5,Turkey,204.7,False
4bc8c2,Turkey,173.17,False
801681,India,200.53,False
a4757f,United States,157.82,False
3d7f74,Germany,87.46,False
4bc8c1,Turkey,27.57,False
80167d,India,228.32,False
80167e,India,9.26,True
80167b,India,157.6,False
80167c,India,190.9,False
aae354,United States,171.23,False
e8024a,Chile,209.99,False
abf008,United States,226.62,False
a5f808,United States,172.51,False
511170,Estonia,210.37,False
acdfcf,United States,0.0,True
aae34c,United States,226.37,False
801699,India,217.53,False
4bc8d5,Turkey,230.15,False
4bc8d6,Turkey,242.85,False
4bc8d3,Turkey,225.01,False
4bc8d2,Turkey,154.6,False
a4623a,United States,54.54,False
a963f7,United States,195.52,False
80164e,India,227.17,False
ac234f,United States,302.08,False
a35592,United States,205.18,False
80164c,India,217.61,False
471efa,Hungary,236.54,False
acdffc,United States,112.89,False
a3a538,United States,234.08,False
471eff,Hungary,261.89,False
471efd,Hungary,129.96,False
e80274,Chile,212.38,False
aae377,United States,61.96,False
ae6316,United States,75.45,False
a5951c,United States,106.14,False
a5f825,United States,215.73,False
a9b3e6,United States,35.19,False
a0e291,United States,189.48,False
a3689e,United States,308.11,False
a9c6fa,United States,179.37,False
abf025,United States,139.6,False
a3b86c,United States,62.77,False
a4c527,United States,166.74,False
3455da,Spain,250.67,False
ab01ee,United States,53.55,False
a007f2,United States,37.6,False
c02267,Canada,194.59,False
abad94,United States,209.18,False
a9655c,United States,41.81,False
3ffc9a,Germany,46.64,False
4acb44,Sweden,8.23,True
a7bbe9,United States,123.91,False
adda24,United States,0.0,True
adda25,United States,136.24,False
adda23,United States,142.27,False
e80218,Chile,129.67,False
3455cb,Spain,7.46,True
a03d51,United States,187.79,False
0d11d1,Mexico,136.2,False
3455d7,Spain,211.78,False
3455d8,Spain,199.86,False
3455d9,Spain,62.61,False
ae74bf,United States,68.39,False
e8020c,Chile,234.74,False
3455d5,Spain,242.96,False
a4b297,United States,40.98,False
3d3831,Germany,58.47,False
a0f4a2,United States,255.51,False
a6f23d,United States,287.04,False
3c5ee8,Germany,189.53,False
e8021a,Chile,241.16,False
3c5ee6,Germany,185.69,False
e8021b,Chile,234.69,False
a9520b,United States,37.78,False
3c5ee9,Germany,214.21,False
4bc8ce,Turkey,245.72,False
4acb23,Sweden,222.73,False
4bc8ca,Turkey,244.66,False
ae61cb,United States,206.99,False
0d11da,Mexico,31.7,False
e48be3,Brazil,186.59,False
a6f280,United States,0.0,False
3c5ee3,Germany,218.86,False
3c5ee2,Germany,213.78,False
ab290e,United States,233.32,False
3c5ee1,Germany,251.61,False
ad41ed,United States,240.33,False
3c5ef8,Germany,249.83,False
a15d0a,United States,189.62,False
a127bb,United States,226.62,False
a34291,United States,299.43,False
46b82a,Greece,251.89,False
46b82c,Greece,235.89,False
3c5eed,Germany,196.06,False
46b82f,Greece,249.04,False
c0226c,Canada,4.63,True
3d3854,Germany,41.83,False
a96564,United States,49.24,False
3c5ef0,Germany,12.35,True
a247a0,United States,102.45,False
e80247,Chile,205.11,False
3ffc67,Germany,0.0,False
c02222,Canada,102.29,False
c0220d,Canada,0.0,True
a5823e,United States,241.74,False
46b831,Greece,201.06,False
c07bbe,Canada,0.0,True
ad8a8a,United States,39.6,False
46b833,Greece,212.62,False
44020a,Austria,212.86,False
a091d5,United States,6.17,True
a6188e,United States,39.76,False
46b838,Greece,244.15,False
3ffc61,Germany,33.57,False
a8eed8,United States,147.4,False
a58267,United States,0.0,True
a101c3,United States,135.44,False
a114f4,United States,210.54,False
a26a0d,United States,56.75,False
a6189c,United States,268.14,False
a8584a,United States,0.0,True
a5f87d,United States,44.82,False
46b824,Greece,183.28,False
46b825,Greece,187.22,False
46b822,Greece,235.89,False
a39d0f,United States,19.66,False
aa099e,United States,232.58,False
a0f4b5,United States,252.34,False
440237,Austria,135.42,False
ab1628,United States,239.04,False
aa3ce8,United States,64.28,False
44022b,Austria,225.45,False
a71257,United States,83.93,False
0d11b0,Mexico,168.49,False
aaf621,United States,0.0,True
47880f,Norway,240.73,False
a85887,United States,217.49,False
a39d11,United States,130.68,False
a7cee7,United States,252.32,False
a234b7,United States,138.81,False
e80207,Chile,102.89,False
a8453e,United States,198.41,False
3d3817,Germany,84.02,False
a7bbb2,United States,232.2,False
aaf624,United States,220.76,False
a2ba48,United States,71.3,False
ac7d19,United States,62.67,False
aa07f9,United States,254.7,False
c0482a,Canada,162.57,False
3d1255,Germany,30.51,False
4aca9a,Sweden,226.71,False
a26a70,United States,171.17,False
a5f7e5,United States,171.17,False
c03517,Canada,233.46,False
a00915,United States,37.45,False
a617e2,United States,50.94,False
885221,Thailand,250.25,False
c04830,Canada,34.74,False
8014b0,India,236.52,False
ac34a0,United States,188.81,False
c0481b,Canada,181.57,False
c0481c,Canada,7.72,True
a5f7d9,United States,42.79,False
4b51fa,Switzerland,27.15,False
3d124c,Germany,53.37,False
accd13,United States,135.52,False
a02a79,United States,217.95,False
a3a4ed,United States,157.0,False
4aca81,Sweden,219.03,False
4aca83,Sweden,126.78,False
4aca86,Sweden,225.7,False
ad67bf,United States,50.97,False
4aca87,Sweden,274.26,False
4aca89,Sweden,228.49,False
a64d4d,United States,201.64,False
accd18,United States,214.05,False
e07583,Argentina,103.47,False
a88d20,United States,138.49,False
a64d51,United States,39.62,False
a3ed7c,United States,276.0,False
ab14d9,United States,243.72,False
a7bd19,United States,126.99,False
48f906,Poland,54.13,False
c02207,Canada,8.23,True
a9529a,United States,49.52,False
c04850,Canada,184.04,False
00b1f2,South Africa,0.0,True
c04852,Canada,105.01,False
4aca93,Sweden,69.64,False
4aca92,Sweden,225.37,False
4aca96,Sweden,213.39,False
a39d51,United States,5.4,True
4aca99,Sweden,233.41,False
a3ed96,United States,158.25,False
3d1289,Germany,31.11,False
a14a77,United States,45.3,False
a234ef,United States,233.95,False
aaf4c8,United States,118.34,False
a4fa2f,United States,58.36,False
34448d,Spain,200.02,False
a5f7f3,United States,64.62,False
a88d11,United States,143.51,False
4aca8a,Sweden,10.29,True
4aca8c,Sweden,246.94,False
ac47de,United States,191.4,False
4aca8f,Sweden,166.06,False
a26a45,United States,39.43,False
344495,Spain,9.77,True
a6f28c,United States,276.84,False
a16fa5,United States,46.14,False
a26a9c,United States,133.44,False
ac21a7,United States,90.04,False
a2ba7e,United States,192.22,False
4bb601,Turkey,226.85,False
3c5eef,Germany,149.38,False
8014db,India,228.64,False
e49ef0,Brazil,196.84,False
ac34bf,United States,2.06,True
344487,Spain,206.47,False
7c1c95,Australia,129.9,False
a3b7cb,United States,206.25,False
344481,Spain,229.45,False
a40d8d,United States,299.33,False
4520d3,Bulgaria,230.04,False
e0b255,Argentina,23.66,True
4400eb,Austria,94.11,False
a00965,United States,123.57,False
adb7b8,United States,198.15,False
471f9a,Hungary,95.69,False
8a043b,Indonesia,115.69,False
a76d01,United States,120.29,False
8014c1,India,210.09,False
343141,Spain,214.01,False
8014af,India,205.82,False
a40d7a,United States,212.83,False
a9a22d,United States,73.75,False
3f6533,Germany,58.68,False
a64d16,United States,223.23,False
471f6f,Hungary,233.76,False
acba1b,United States,216.45,False
8a0442,Indonesia,213.13,False
a38a74,United States,84.08,False
c04826,Canada,244.35,False
e49ed4,Brazil,190.37,False
471f6d,Hungary,219.67,False
e49ed5,Brazil,197.33,False
a4d7e4,United States,204.44,False
a12921,United States,50.97,False
e48baa,Brazil,268.95,False
471f7a,Hungary,186.59,False
a461b8,United States,56.32,False
a2cd82,United States,240.31,False
a00948,United States,134.71,False
a617d2,United States,50.39,False
471f68,Hungary,229.47,False
aa0909,United States,93.23,False
471f67,Hungary,236.79,False
aae267,United States,212.65,False
a09322,United States,7.2,True
471f65,Hungary,106.24,False
471f62,Hungary,234.4,False
ae6232,United States,51.41,False
